rank,name,positive ratings,negative ratings,total reviews,rating percentage
419.,OPUS: Echo of Starsong - Full Bloom Edition,"8,039",279,"8,318",93.56%
420.,Glass Masquerade,"6,188",197,"6,385",93.56%
421.,Valheim,"441,306","26,099","467,405",93.54%
422.,Carto,"7,613",262,"7,875",93.54%
423.,HROT,"5,013",148,"5,161",93.54%
424.,I Am Your Beast,"1,097",5,"1,102",93.53%
425.,Game Dev Tycoon,"40,451","1,969","42,420",93.52%
426.,"Warhammer 40,000: Dawn of War - Dark Crusade","8,122",287,"8,409",93.52%
427.,TY the Tasmanian Tiger,"2,481",49,"2,530",93.52%
428.,Walkabout Mini Golf,"2,826",62,"2,888",93.51%
429.,Ultimate Custom Night,"54,057","2,743","56,800",93.50%
430.,Rusty's Retirement,"7,696",269,"7,965",93.50%
431.,Tukoni: Prologue,"3,629",93,"3,722",93.50%
432.,South Scrimshaw Part One,"1,193",8,"1,201",93.50%
433.,Bastion,"35,287","1,700","36,987",93.49%
434.,Tsuki ni Yorisou Otome no Sahou,"3,179",76,"3,255",93.49%
435.,DARK SOULS™ III,"371,248","22,041","393,289",93.48%
436.,Little Nightmares,"98,971","5,369","104,340",93.47%
437.,Rusty Lake: Roots,"6,869",234,"7,103",93.47%
438.,Beacon Pines,"2,847",64,"2,911",93.47%
439.,彼方的她-Aliya,"1,619",21,"1,640",93.47%
440.,Mindustry,"19,173",847,"20,020",93.45%
441.,OpenTTD,"12,373",499,"12,872",93.45%
442.,葬花·暗黑桃花源,"5,669",182,"5,851",93.45%
443.,S.T.A.L.K.E.R.: Call of Pripyat,"27,276","1,281","28,557",93.44%
444.,Townscaper,"19,644",873,"20,517",93.44%
445.,Tsukikage no Simulacre: Kaihou no Hane,"3,181",78,"3,259",93.44%
446.,Chicory: A Colorful Tale,"3,008",71,"3,079",93.44%
447.,Refunct,"16,543",715,"17,258",93.43%
448.,Shovel Knight: Treasure Trove,"15,120",641,"15,761",93.43%
