Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-10-09,Crash,1996,https://boxd.it/4XUVo5,3.5,,,2023-10-08
2023-10-09,A Cinderella Story,2004,https://boxd.it/4Y0PxR,,Yes,,2023-10-08
2023-10-16,Totally Killer,2023,https://boxd.it/50pve9,1.5,,,2023-10-16
2023-10-20,Anatomy of a Fall,2023,https://boxd.it/51wJ1B,4.5,,,2023-10-19
2023-10-21,Meg 2: The Trench,2023,https://boxd.it/51LGuP,0.5,,,2023-10-20
2023-10-21,The Guilty,2018,https://boxd.it/51QNCL,4.5,,,2023-10-21
2023-11-01,Hush,2016,https://boxd.it/55Gd79,4,,,2023-10-31
2023-11-27,El Camino: A Breaking Bad Movie,2019,https://boxd.it/5edbgB,4,,,2023-11-26
2023-12-04,May December,2023,https://boxd.it/5gAZvZ,2,,,2023-12-03
2023-12-12,Leave the World Behind,2023,https://boxd.it/5jiotj,2,,,2023-12-11
2023-12-12,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/5jmJRT,3.5,,,2023-12-11
2023-12-24,The Shop Around the Corner,1940,https://boxd.it/5nT2OJ,3,,,2023-12-23
2024-01-02,Priscilla,2023,https://boxd.it/5sD6ID,3.5,,,2024-01-01
2024-01-04,The Sweet Hereafter,1997,https://boxd.it/5uj5Rx,3,,,2024-01-03
2024-01-05,Saltburn,2023,https://boxd.it/5uSizr,2,,,2024-01-04
2024-01-06,Pulp Fiction,1994,https://boxd.it/5vC2zH,4,,,2024-01-05
2024-01-11,Taxi Driver,1976,https://boxd.it/5yHzVN,5,,,2024-01-10
2024-01-11,Kill Bill: Vol. 1,2003,https://boxd.it/5yNgTl,4.5,,,2024-01-10
2024-02-09,Anyone But You,2023,https://boxd.it/5N7v57,1.5,,,2024-02-08
2024-02-16,Upgraded,2024,https://boxd.it/5Qfxs1,3,,,2024-02-15
2024-02-26,Mean Girls,2024,https://boxd.it/5UK443,2,,,2024-02-25
2024-02-26,The Zone of Interest,2023,https://boxd.it/5V1pMJ,1,,,2024-02-25
2024-02-29,Miller's Girl,2024,https://boxd.it/5Wdqj7,0.5,,,2024-02-28
2024-02-29,Poor Things,2023,https://boxd.it/5Wnf6L,5,,,2024-02-29
2024-03-02,Anatomy of a Fall,2023,https://boxd.it/5XcLRh,4.5,Yes,,2024-03-02
2024-03-09,One Day,2011,https://boxd.it/60vLnV,5,Yes,,2024-03-08
2024-03-17,Lisbela and the Prisoner,2003,https://boxd.it/64kzQl,5,Yes,,2024-03-16
2024-03-17,O Auto da Compadecida,1999,https://boxd.it/64kP6j,5,,,2024-03-16
2024-03-19,Children of Men,2006,https://boxd.it/65rpB9,3,,,2024-03-19
2024-04-01,"Crazy, Stupid, Love.",2011,https://boxd.it/6busMT,4,,,2024-03-31
2024-04-10,Ricky Stanicky,2024,https://boxd.it/6fq2b1,3,,,2024-04-09
2024-04-17,Immaculate,2024,https://boxd.it/6icsEn,2,,,2024-04-16
2024-04-21,Late Night with the Devil,2023,https://boxd.it/6jA4Kj,1,,,2024-04-20
2024-04-21,Crime and Punishment,1983,https://boxd.it/6jErGH,4,,,2024-04-20
2024-05-06,The Idea of You,2024,https://boxd.it/6pOA9r,1,,,2024-05-05
2024-05-06,The Holdovers,2023,https://boxd.it/6q5Ef3,4,,,2024-05-05
2024-05-06,Easy A,2010,https://boxd.it/6q9hAZ,,Yes,,2024-05-06
2024-05-23,In the Mood for Love,2000,https://boxd.it/6wHFLz,3,,,2024-05-22
2024-05-26,Civil War,2024,https://boxd.it/6xH7Bf,1,,,2024-05-25
2024-06-25,The Strangers,2008,https://boxd.it/6JZS3D,3,,,2024-06-24
2024-06-25,Under Paris,2024,https://boxd.it/6JZSiD,3,,,2024-06-24
2024-06-25,The Strangers: Chapter 1,2024,https://boxd.it/6JZSCX,0.5,,,2024-06-24
2024-06-25,Mad Max: Fury Road,2015,https://boxd.it/6JZUHP,,Yes,,2024-06-24
2024-07-15,The Housemaid,1960,https://boxd.it/6SBE4l,3,,,2024-07-14
2024-07-15,Raising Arizona,1987,https://boxd.it/6SEJEp,3,,,2024-07-14
2024-08-03,A Quiet Place: Day One,2024,https://boxd.it/715aw7,2,,,2024-08-02
2024-08-15,Twisters,2024,https://boxd.it/76a4L1,2,,,2024-08-14
2024-08-16,Slaxx,2020,https://boxd.it/76CbnB,3.5,,,2024-08-15
2024-08-26,Longlegs,2024,https://boxd.it/7bozhf,2,,,2024-08-25
2024-08-26,Trap,2024,https://boxd.it/7boC49,3.5,,,2024-08-25
2024-08-28,Cherry Falls,2000,https://boxd.it/7crI1v,3.5,,,2024-08-27
2024-09-03,May,2002,https://boxd.it/7fmM3R,4,,,2024-09-02
2024-09-03,27 Dresses,2008,https://boxd.it/7fqTDZ,,Yes,,2024-09-03
2024-09-08,Alien,1979,https://boxd.it/7hvn8j,4,,,2024-09-07
