Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-03-19,Judas and the Black Messiah,2021,https://boxd.it/1Jt3iN,5,,,2021-03-18
2021-03-19,Nomadland,2020,https://boxd.it/1JtRKH,3,,,2021-03-19
2021-03-20,Super Fly,1972,https://boxd.it/1Jy3c1,3,,,2021-03-19
2021-03-22,The People Under the Stairs,1991,https://boxd.it/1JR61N,5,,,2021-03-21
2021-03-22,Tales from the Hood,1995,https://boxd.it/1JYkin,3.5,,,2021-03-22
2021-03-25,The White Tiger,2021,https://boxd.it/1Kks4R,1.5,,,2021-03-22
2021-03-25,Eve's Bayou,1997,https://boxd.it/1Kh8xN,4,,,2021-03-24
2021-03-25,The Cabin in the Woods,2011,https://boxd.it/1KiRhH,2.5,,,2021-03-24
2021-03-25,LA 92,2017,https://boxd.it/1KjJFj,4,,,2021-03-24
2021-03-25,Another Round,2020,https://boxd.it/1Kkpsh,1,,,2021-03-25
2021-03-25,Plastic Bag,2009,https://boxd.it/1KkFV5,1,,,2021-03-25
2021-03-27,Legend of the Mountain,1979,https://boxd.it/1Kz6Sv,5,,,2021-03-26
2021-03-29,Demons,1971,https://boxd.it/1KOamt,4,,,2021-03-28
2021-03-29,Angel Dust,1994,https://boxd.it/1KPgal,,,,2021-03-28
2021-03-29,Kase-san and Morning Glories,2018,https://boxd.it/1KUNTX,2,,,2021-03-29
2021-03-30,High and Low,1963,https://boxd.it/1KYliH,3.5,,,2021-03-29
2021-03-30,Kung Fu Hustle,2004,https://boxd.it/1L1Fmv,3,,,2021-03-30
2021-03-31,Dark Water,2002,https://boxd.it/1L7wGt,3,,,2021-03-30
2021-03-31,Touki Bouki,1973,https://boxd.it/1L7wNf,,,,2021-03-30
2021-03-31,Crows Zero II,2009,https://boxd.it/1L8c7Z,3,,,2021-03-30
2021-03-31,Get the Goat,2021,https://boxd.it/1L9zk5,3.5,,,2021-03-31
2021-04-01,The Vanishing,1988,https://boxd.it/1LgV9H,2.5,,,2021-03-31
2021-04-01,Boyz n the Hood,1991,https://boxd.it/1LhP8l,4,,,2021-04-01
2021-04-02,Godzilla,1954,https://boxd.it/1LqrKX,4,,,2021-04-02
2021-04-05,God Help the Girl,2014,https://boxd.it/1LNrgJ,3,,,2021-04-04
2021-04-06,The Dead and the Deadly,1982,https://boxd.it/1LXKul,3.5,,,2021-04-05
2021-04-06,The Sword of Doom,1966,https://boxd.it/1M60A1,3.5,,,2021-04-06
2021-04-06,eXistenZ,1999,https://boxd.it/1M6k2D,4.5,,,2021-04-06
2021-04-06,Videodrome,1983,https://boxd.it/1M6EBD,3.5,,,2021-04-06
2021-04-10,Encounters of the Spooky Kind,1980,https://boxd.it/1MDbXV,3,,,2021-04-10
2021-04-13,Getulio,2014,https://boxd.it/1N1zjt,2.5,,,2021-04-12
2021-04-15,The Station Agent,2003,https://boxd.it/1NimMB,4.5,,,2021-04-14
2021-04-15,U Turn,1997,https://boxd.it/1NnKJ7,3.5,,,2021-04-15
2021-04-18,"Tuesday, After Christmas",2010,https://boxd.it/1NJitz,2.5,,,2021-04-17
2021-04-20,Thunder,1982,https://boxd.it/1O0UnD,3,,,2021-04-19
2021-05-01,August in the Water,1995,https://boxd.it/1PxVZ9,2.5,,,2021-04-30
2021-05-16,The Woman in the Window,2021,https://boxd.it/1Rz7kd,1,,,2021-05-15
2021-05-21,Rear Window,1954,https://boxd.it/1SiJLV,4,,,2021-05-20
2021-05-27,Earwig and the Witch,2020,https://boxd.it/1T6PLx,2.5,,,2021-05-26
2021-05-31,Cosmopolis,2012,https://boxd.it/1TG5pR,2.5,,,2021-05-31
2021-05-31,Weird Science,1985,https://boxd.it/1TH2Xt,,Yes,,2021-05-31
2021-05-31,"Planes, Trains and Automobiles",1987,https://boxd.it/1TH37t,2.5,,,2021-05-31
2021-05-31,Rosemary's Baby,1968,https://boxd.it/1TI13B,3.5,Yes,,2021-05-31
2021-06-01,Cruella,2021,https://boxd.it/1TRcqJ,2.5,,,2021-06-01
2021-06-10,Brokeback Mountain,2005,https://boxd.it/1V3Dv5,2,,,2021-06-01
2021-06-10,Antonio das Mortes,1969,https://boxd.it/1V3w2l,4,,,2021-06-10
2021-06-11,Di Cavalcanti Di Glauber,1977,https://boxd.it/1V43Jd,4,,,2021-06-10
2021-06-20,Sing Street,2016,https://boxd.it/1Wb7nX,4,,,2021-06-19
2021-06-20,Manhunter,1986,https://boxd.it/1Wb8eR,3.5,,,2021-06-19
2021-06-20,Take This Waltz,2011,https://boxd.it/1WdJIj,2.5,,,2021-06-19
2021-06-20,Magic Mountains,2020,https://boxd.it/1WhQw3,4,,,2021-06-20
2021-06-21,Spring,2014,https://boxd.it/1WilOx,4.5,,,2021-06-20
2021-06-21,Carrie,1976,https://boxd.it/1WoN5n,4,,,2021-06-20
2021-06-22,Once,2007,https://boxd.it/1WwyRR,4,,,2021-06-21
2021-06-22,The Match Factory Girl,1990,https://boxd.it/1Wx2gr,4,,,2021-06-21
2021-06-24,My Blueberry Nights,2007,https://boxd.it/1WHME5,3,,,2021-06-23
2021-06-28,Cold Eyes,2013,https://boxd.it/1Xhbk5,2.5,,,2021-06-27
2021-06-29,Dead Ringers,1988,https://boxd.it/1XpVfL,3.5,,,2021-06-28
2021-06-29,Bo Burnham: Inside,2021,https://boxd.it/1XqQ0N,,,,2021-06-29
2021-07-01,Shivers,1975,https://boxd.it/1XFMBF,2.5,,,2021-07-01
2021-07-05,Blade,1998,https://boxd.it/1Y8YtV,2.5,,,2021-07-04
2021-07-14,What We Do in the Shadows,2014,https://boxd.it/1ZCvwZ,3.5,,,2021-07-14
2021-07-14,Kill Your Darlings,2013,https://boxd.it/1ZD6bf,3,,,2021-07-14
2021-07-15,Exotica,1994,https://boxd.it/1ZLrAB,3,,,2021-07-15
2021-07-15,What If,2013,https://boxd.it/1ZLBfj,2.5,,,2021-07-15
2021-08-01,Godzilla vs. Kong,2021,https://boxd.it/22eWfZ,2,,,2021-07-31
2021-08-04,Air Conditioner,2020,https://boxd.it/22H0uZ,4.5,,,2021-08-03
2021-08-04,Tokyo!,2008,https://boxd.it/22JlZN,2.5,,,2021-08-04
2021-08-06,The Karate Kid Part II,1986,https://boxd.it/22Vs8b,3,,,2021-08-05
2021-08-06,Scarface,1983,https://boxd.it/230Inr,5,,,2021-08-06
2021-08-12,Raw,2016,https://boxd.it/23SZJd,4,Yes,,2021-08-11
2021-08-13,13 Assassins,2010,https://boxd.it/23VTE3,3.5,,,2021-08-12
2021-08-15,Lady Vengeance,2005,https://boxd.it/24f70p,3,Yes,,2021-08-14
2021-08-15,Typhoon Club,1985,https://boxd.it/24f7oh,2.5,,,2021-08-14
2021-08-21,PTU,2003,https://boxd.it/2571p7,3,,,2021-08-18
2021-08-21,Beyond the Infinite Two Minutes,2020,https://boxd.it/2571Dj,,,,2021-08-20
2021-08-22,House of Wax,2005,https://boxd.it/25jnVj,1,,,2021-08-21
2021-08-22,Cellular,2004,https://boxd.it/25kacR,2.5,,,2021-08-22
2021-08-22,Doctor Strange,2016,https://boxd.it/25lkqr,2.5,,,2021-08-22
2021-08-23,Drag Me to Hell,2009,https://boxd.it/25uewL,0.5,,,2021-08-22
2021-08-30,Sinister,2012,https://boxd.it/26uqq5,1,,,2021-08-22
2021-08-24,Guardians of the Galaxy,2014,https://boxd.it/25E4MJ,2,,,2021-08-24
2021-08-24,The Avengers,2012,https://boxd.it/25EKpn,1.5,,,2021-08-24
2021-08-26,A Bolsa ou a Vida,2021,https://boxd.it/25TG9v,1.5,,,2021-08-25
2021-08-26,Neon Bull,2015,https://boxd.it/25UijN,2.5,,,2021-08-26
2021-08-28,Labyrinth of Dreams,1997,https://boxd.it/2647I3,4,,,2021-08-27
2021-08-28,It Follows,2014,https://boxd.it/2647VB,1.5,,,2021-08-27
2021-08-28,The Youth Killer,1976,https://boxd.it/2648lJ,5,,,2021-08-27
2021-08-30,The Mission,1999,https://boxd.it/26pwwD,3,,,2021-08-29
2021-08-31,Miss Congeniality,2000,https://boxd.it/26z5rh,4,,,2021-08-30
2021-09-01,A Quiet Place Part II,2020,https://boxd.it/26JXe7,3.5,,,2021-08-31
2021-09-22,The Suicide Squad,2021,https://boxd.it/29yOub,0.5,,,2021-09-01
2021-09-02,The Green Knight,2021,https://boxd.it/26Uy8Z,4,,,2021-09-02
2021-09-06,Major Grom: Plague Doctor,2021,https://boxd.it/27pCp3,1,,,2021-09-05
2021-09-06,Luca,2021,https://boxd.it/27sw61,5,,,2021-09-05
2021-09-08,The Blue Sky Maiden,1957,https://boxd.it/27K8Y5,4,,,2021-09-07
2021-09-16,Pig,2021,https://boxd.it/28MQ9t,1.5,,,2021-09-15
2021-09-17,Malignant,2021,https://boxd.it/28Uqbf,2,,,2021-09-16
2021-09-17,Good Manners,2017,https://boxd.it/28Uqqp,1,,,2021-09-16
2021-09-22,The Face of Another,1966,https://boxd.it/29Dd4P,4,,,2021-09-22
2021-09-24,Prisoners of the Ghostland,2021,https://boxd.it/29ND2b,1,,,2021-09-23
2021-09-24,Forgetting Sarah Marshall,2008,https://boxd.it/29QiNr,3.5,,,2021-09-23
2021-09-25,Kakushigoto Theatrical Edition,2021,https://boxd.it/29VzlT,2.5,,,2021-09-24
2021-09-25,Quem Precisa de Identidade?,2020,https://boxd.it/29YbAr,,,,2021-09-24
2021-09-25,Tokyo Gore Police,2008,https://boxd.it/29YARx,2,,,2021-09-24
